moisture,time_stamp
72.65,20-Jul-2022 09:12:57
72.65,20-Jul-2022 09:32:52
73.06,20-Jul-2022 09:52:47
72.65,20-Jul-2022 10:12:43
72.65,20-Jul-2022 10:32:39
72.65,20-Jul-2022 10:52:34
73.06,20-Jul-2022 11:12:31
72.65,20-Jul-2022 11:32:27
72.65,20-Jul-2022 11:52:23
72.65,20-Jul-2022 12:12:20
73.06,20-Jul-2022 12:32:17
72.65,20-Jul-2022 12:52:13
73.06,20-Jul-2022 13:12:11
73.06,20-Jul-2022 13:32:07
73.06,20-Jul-2022 13:52:02
72.65,20-Jul-2022 14:11:58
73.06,20-Jul-2022 14:31:53
72.65,20-Jul-2022 14:51:48
72.65,20-Jul-2022 15:11:43
72.65,20-Jul-2022 15:31:40
72.65,20-Jul-2022 15:51:35
73.06,20-Jul-2022 16:11:30
72.65,20-Jul-2022 16:31:25
72.65,20-Jul-2022 16:51:21
73.06,20-Jul-2022 17:11:15
73.06,20-Jul-2022 17:31:09
72.65,20-Jul-2022 17:51:04
72.65,20-Jul-2022 18:10:58
72.65,20-Jul-2022 18:30:54
72.65,20-Jul-2022 18:50:49
72.65,20-Jul-2022 19:10:45
73.06,20-Jul-2022 19:30:40
72.65,20-Jul-2022 19:50:34
72.65,20-Jul-2022 20:10:28
72.65,20-Jul-2022 20:30:22
72.24,20-Jul-2022 20:50:16
72.65,20-Jul-2022 21:10:09
72.65,20-Jul-2022 21:30:03
72.65,20-Jul-2022 21:49:58
72.24,20-Jul-2022 22:09:54
72.24,20-Jul-2022 22:29:49
72.24,20-Jul-2022 22:49:44
72.24,20-Jul-2022 23:09:39
72.24,20-Jul-2022 23:29:34
72.24,20-Jul-2022 23:49:31
72.24,21-Jul-2022 00:09:29
72.24,21-Jul-2022 00:29:23
72.24,21-Jul-2022 00:49:17
72.24,21-Jul-2022 01:09:12
72.24,21-Jul-2022 01:29:07
71.84,21-Jul-2022 01:49:04
72.24,21-Jul-2022 02:08:58
71.84,21-Jul-2022 02:28:53
71.84,21-Jul-2022 02:48:50
71.84,21-Jul-2022 03:08:48
71.84,21-Jul-2022 03:28:44
72.24,21-Jul-2022 03:48:39
71.84,21-Jul-2022 04:08:33
71.84,21-Jul-2022 04:28:28
72.24,21-Jul-2022 04:48:22
72.24,21-Jul-2022 05:08:17
72.24,21-Jul-2022 05:28:13
71.84,21-Jul-2022 05:48:08
71.84,21-Jul-2022 06:08:02
71.84,21-Jul-2022 06:27:57
71.84,21-Jul-2022 06:47:53
71.84,21-Jul-2022 07:07:47
71.84,21-Jul-2022 07:27:43
71.84,21-Jul-2022 07:47:39
71.84,21-Jul-2022 08:07:34
71.84,21-Jul-2022 08:27:28
71.84,21-Jul-2022 08:47:23
71.43,21-Jul-2022 09:07:17
71.43,21-Jul-2022 09:27:11
71.84,21-Jul-2022 09:47:05
71.84,21-Jul-2022 10:07:00
71.43,21-Jul-2022 10:26:56
71.84,21-Jul-2022 10:46:50
71.84,21-Jul-2022 11:06:45
71.84,21-Jul-2022 11:26:39
74.29,21-Jul-2022 11:46:36
76.33,21-Jul-2022 12:06:34
75.92,21-Jul-2022 12:26:30
75.92,21-Jul-2022 12:46:26
75.92,21-Jul-2022 13:06:22
75.51,21-Jul-2022 13:26:18
75.51,21-Jul-2022 13:46:13
75.51,21-Jul-2022 14:06:08
75.1,21-Jul-2022 14:26:04
75.1,21-Jul-2022 14:46:01
